Time,PressureIn,PressureOut,PressureDifference
2022-05-26 08:48:35.451,-0.04,-0.11,-0.07
2022-05-26 08:48:45.465,-0.08,-0.15,-0.07
2022-05-26 08:48:55.480,-0.04,-0.15,-0.11
2022-05-26 08:49:05.496,-0.08,-0.11,-0.04
2022-05-26 08:49:15.510,-0.04,-0.11,-0.07
2022-05-26 08:49:25.525,-0.04,-0.15,-0.11
2022-05-26 08:49:35.539,-0.08,-0.11,-0.04
2022-05-26 08:49:45.554,-0.08,-0.11,-0.04
2022-05-26 08:49:55.568,-0.08,-0.11,-0.04
2022-05-26 08:50:05.583,-0.04,-0.11,-0.07
2022-05-26 08:50:15.597,-0.04,-0.15,-0.11
2022-05-26 08:50:25.612,-0.04,-0.11,-0.07
2022-05-26 08:50:35.626,-0.04,-0.11,-0.07
2022-05-26 08:50:45.641,-0.04,-0.11,-0.07
2022-05-26 08:50:55.655,-0.04,-0.11,-0.07
2022-05-26 08:51:05.674,-0.04,-0.11,-0.07
2022-05-26 08:51:15.688,-0.04,-0.15,-0.11
2022-05-26 08:51:25.703,-0.04,-0.11,-0.07
2022-05-26 08:51:35.718,-0.04,-0.11,-0.07
2022-05-26 08:51:45.732,-0.08,-0.11,-0.04
2022-05-26 08:51:55.747,-0.08,-0.11,-0.04
2022-05-26 08:52:05.761,-0.04,-0.11,-0.07
2022-05-26 08:52:15.776,-0.08,-0.11,-0.04
2022-05-26 08:52:25.790,-0.04,-0.11,-0.07
2022-05-26 08:52:35.805,-0.04,-0.11,-0.07
2022-05-26 08:52:45.819,0,-0.11,-0.11
2022-05-26 08:52:55.834,-0.08,-0.11,-0.04
2022-05-26 08:53:05.852,-0.04,-0.11,-0.07
2022-05-26 08:53:15.866,-0.04,-0.11,-0.07
2022-05-26 08:53:25.881,-0.08,-0.15,-0.07
2022-05-26 08:53:35.896,-0.04,-0.11,-0.07
2022-05-26 08:53:45.910,0,-0.11,-0.11
2022-05-26 08:53:55.925,-0.08,-0.11,-0.04
2022-05-26 08:54:05.939,-0.04,-0.11,-0.07
2022-05-26 08:54:15.954,-0.04,-0.11,-0.07
2022-05-26 08:54:25.968,-0.04,-0.11,-0.07
2022-05-26 08:54:35.983,-0.04,-0.11,-0.07
2022-05-26 08:54:45.997,-0.04,-0.11,-0.07
2022-05-26 08:54:56.007,-0.04,-0.11,-0.07
2022-05-26 08:55:06.025,-0.04,-0.11,-0.07
2022-05-26 08:55:16.040,-0.08,-0.11,-0.04
2022-05-26 08:55:26.054,-0.08,-0.11,-0.04
2022-05-26 08:55:36.069,-0.04,-0.11,-0.07
2022-05-26 08:55:46.083,-0.04,-0.11,-0.07
2022-05-26 08:55:56.098,-0.04,-0.11,-0.07
2022-05-26 08:56:06.114,-0.04,-0.15,-0.11
2022-05-26 08:56:16.128,0,-0.11,-0.11
2022-05-26 08:56:26.143,-0.04,-0.11,-0.07
2022-05-26 08:56:36.157,-0.04,-0.11,-0.07
2022-05-26 08:56:46.172,-0.04,-0.11,-0.07
2022-05-26 08:56:56.186,0,-0.11,-0.11
2022-05-26 08:57:06.204,-0.04,-0.11,-0.07
2022-05-26 08:57:16.219,-0.04,-0.08,-0.04
2022-05-26 08:57:26.233,0,-0.11,-0.11
2022-05-26 08:57:36.248,0,-0.11,-0.11
2022-05-26 08:57:46.263,-0.04,-0.11,-0.07
2022-05-26 08:57:56.278,-0.04,-0.11,-0.07
2022-05-26 08:58:06.292,-0.04,-0.11,-0.07
2022-05-26 08:58:16.307,0,-0.11,-0.11
2022-05-26 08:58:26.321,-0.04,-0.11,-0.07
2022-05-26 08:58:36.338,-0.04,-0.11,-0.07
2022-05-26 08:58:46.352,-0.04,-0.11,-0.07
2022-05-26 08:58:56.367,0,-0.11,-0.11
2022-05-26 08:59:06.385,-0.04,-0.11,-0.07
2022-05-26 08:59:16.400,0,-0.11,-0.11
2022-05-26 08:59:26.414,0,-0.08,-0.08
2022-05-26 08:59:36.429,-0.04,-0.11,-0.07
2022-05-26 08:59:46.443,-0.04,-0.11,-0.07
2022-05-26 08:59:56.458,0,-0.11,-0.11
2022-05-26 09:00:06.472,0,-0.11,-0.11
2022-05-26 09:00:16.487,-0.04,-0.11,-0.07
2022-05-26 09:00:26.502,0,-0.11,-0.11
2022-05-26 09:00:36.516,0,-0.11,-0.11
2022-05-26 09:00:46.531,-0.04,-0.11,-0.07
2022-05-26 09:00:56.546,0,-0.11,-0.11
2022-05-26 09:01:06.559,0,-0.11,-0.11
2022-05-26 09:01:16.573,-0.04,-0.08,-0.04
2022-05-26 09:01:26.588,0,-0.11,-0.11
2022-05-26 09:01:36.602,0,-0.11,-0.11
2022-05-26 09:01:46.617,0,-0.11,-0.11
2022-05-26 09:01:56.631,0,-0.11,-0.11
2022-05-26 09:02:06.646,-0.04,-0.11,-0.07
2022-05-26 09:02:16.660,0,-0.11,-0.11
2022-05-26 09:02:26.675,0,-0.11,-0.11
2022-05-26 09:02:36.689,0,-0.08,-0.08
2022-05-26 09:02:46.704,0,-0.11,-0.11
2022-05-26 09:02:56.718,0,-0.11,-0.11
2022-05-26 09:03:06.737,0,-0.11,-0.11
2022-05-26 09:03:16.751,0,-0.11,-0.11
2022-05-26 09:03:26.766,0,-0.11,-0.11
2022-05-26 09:03:36.781,0,-0.11,-0.11
2022-05-26 09:03:46.795,0,-0.11,-0.11
2022-05-26 09:03:56.810,0,-0.11,-0.11
2022-05-26 09:04:06.824,0,-0.08,-0.08
2022-05-26 09:04:16.839,-0.04,-0.11,-0.07
2022-05-26 09:04:26.853,0,-0.11,-0.11
2022-05-26 09:04:36.868,0,-0.08,-0.08
2022-05-26 09:04:46.882,0,-0.11,-0.11
2022-05-26 09:04:56.902,-0.04,-0.11,-0.07
2022-05-26 09:05:06.922,-0.04,-0.11,-0.07
2022-05-26 09:05:16.936,0,-0.11,-0.11
2022-05-26 09:05:26.951,0,-0.11,-0.11
2022-05-26 09:05:36.965,0,-0.11,-0.11
2022-05-26 09:05:46.980,0,-0.11,-0.11
2022-05-26 09:05:56.994,0,-0.08,-0.08
2022-05-26 09:06:07.009,-0.04,-0.11,-0.07
2022-05-26 09:06:17.023,0,-0.11,-0.11
2022-05-26 09:06:27.038,-0.04,-0.11,-0.07
2022-05-26 09:06:37.052,-0.04,-0.11,-0.07
2022-05-26 09:06:47.067,0,-0.08,-0.08
2022-05-26 09:06:57.082,0,-0.11,-0.11
2022-05-26 09:07:07.100,0,-0.08,-0.08
2022-05-26 09:07:17.116,0,-0.11,-0.11
2022-05-26 09:07:27.131,-0.04,-0.11,-0.07
2022-05-26 09:07:37.145,0,-0.11,-0.11
2022-05-26 09:07:47.160,-0.04,-0.08,-0.04
2022-05-26 09:07:57.174,0,-0.08,-0.08
2022-05-26 09:08:07.189,0,-0.11,-0.11
2022-05-26 09:08:17.204,0,-0.11,-0.11
2022-05-26 09:08:27.218,0,-0.11,-0.11
2022-05-26 09:08:37.233,0,-0.08,-0.08
