Time,PressureIn,PressureOut,PressureDifference
2022-04-12 15:51:42.461744 START 
2022-04-12 15:51:44.468691,3.26,3.19,-0.07
2022-04-12 15:51:46.483392,3.22,3.19,-0.03
2022-04-12 15:51:48.488096,3.22,3.19,-0.03
